;Entite;Label;liste_contxt_gauche;liste_contxt_droit
0;de Besançon;LOC;t l'archevêque ; sous la Restau
1;Watteville;LOC; la baronne de ;. Un mot sur ce
2;de Besançon;LOC;able peut-être ;". 
Monsieur de "
3;Comté;LOC;r vécu dans la ; comme un clopo
4;Rupt;LOC;bre famille de ;. Mademoiselle 
5;Watteville;LOC;ds du baron de ;. L'écusson du 
6;Watteville;LOC;me suisse, les ; sont de Suisse
7;Suisse;LOC;eville sont de ;, fut mis en ab
8;Rupt;LOC;écusson des de ;. Ce mariage, d
9;Préfecture;LOC;blir rue de la ;, dans le bel h
10;Rupt;LOC;e bel hôtel de ; dont le vaste 
11;rue du Perron;LOC;'étend vers la ;. Madame Wattev
12;de Besançon;LOC; haute société ; un air sombre 
13;Italie;LOC; religieuse en ;, et un étendar
14;Watteville;LOC;du mariage des ; et des de Rupt
15;Rupt;LOC;ille et des de ;". 
Monsieur de "
16;de Besançon;LOC; du territoire ;. Quelques cont
17;hôtel de Rupt;LOC;"onne chère. 
L'"; ne manquait pa
18;damas;LOC;lampasses, les ;, les tapis, le
19;de Saxe;LOC;de porcelaines ;, la chère y ét
20;Paris;LOC;e s'en aller à ;, et j'ai pu pr
21;Besançon;LOC;"inaire... 
– A "; ? dit naïvemen
22;Watteville;LOC;nt monsieur de ;". 
– A Besançon"
23;Besançon;LOC;"tteville. 
– A ";, répondit l'ab
24;Rupt;LOC;t à l'hôtel de ; pour la premiè
25;Paris;LOC;lés chercher à ;. Ce jeune homm
26;Conseillers;LOC;x, au dire des ;. Ainsi, le Cha
27;Chapitre;LOC;ers. Ainsi, le ; est deux fois 
28;Droit;LOC;il a vaincu en ;, puis en Polit
29;Politique;LOC;Droit, puis en ; il a vaincu le
30;Bisontins;LOC;ence. Tous les ; ont applaudi. 
31;Chapitre;LOC;uvent reste au ; de la cathédra
32;cathédrale de Besançon;LOC;Chapitre de la ;. Monsieur Sava
33;Paris;LOC;on confrère de ; à dîner au sor
