;Entite;Label;liste_contxt_gauche;liste_contxt_droit
0;Besançon;LOC;"’archevêque de
"; sous la Restau
1;Watlevdle;LOC; la baronne de ;". Un mot
sur ce"
2;de Besançon;LOC;"able
peut—être ";".

Monsieur de "
3;Comté;LOC;"r vécu dans
la "; comme un clopo
4;Rupt;LOC;bre famille de ;".
Mademoiselle "
5;Watteville;LOC;"me suisse, les
"; sont de Suisse
6;Suisse;LOC;eville sont de ;, fut mis en ab
7;Rupt;LOC;écusson des de ;. Ce mariage, d
8;Préfecture;LOC;blir rue de la ;", ,

dans le be"
9;Bupt;LOC;e bel hôtel de ;,dont le vaste 
10;jardin s’;LOC;,dont le vaste ;"étend vers
la r"
11;rue du Perron;LOC;"’étend vers
la ";. Madame Wattev
12;de Besançon;LOC;" haute société
"; un air sombre 
13;Italie;LOC; religieuse en ;", et un éten—
d"
14;éten—;LOC; Italie, et un ;"
dard pour l'Or"
15;qu’;LOC;sait usé, sans ;on pût savoir à
16;préten—;LOC;a magistrature ;"
daient que le "
17;|omène;LOC;" 

DE BALZAC.

"; fut l’unique f
18;l’;LOC;"C.

|omène fut ";unique fruit du
19;Watteville;LOC;du mariage des ;" et des
de Rupt"
20;Rupt;LOC;"ille et des
de ";".

Monsieur de "
21;Wattcville;LOC;de monsieur de ; : — Il a une b
22;hôtel de Root;LOC;"onne chère.

L'"; ne manquait pa
23;splen—;LOC;d’une certaine ;"
door digne de "
24;damas;LOC;"lampasses, les
";, les tapis, le
25;de Saxe;LOC;de porcelaines ;", la chère y
ét"
26;consis—;LOC; son mari. qui ;"

tait dans la "
27;l’;LOC; spirituels de ;"or—
chevêché qu"
28;Grancey;LOC;"ieur l‘abbé
de ";, qu’on annonça
29;qu’;LOC;"bé
de Grancey, ";"on annonça.

——"
30;Comédie humaine;LOC;(Extrait de la ;".) 86

282

DE "
31;Ganaél;LOC;"BALZAC.

 

-— "; répondit le vi
32;pour—;LOC;ns, vous savez ;"
quoi...

Ceci "
33;Paris;LOC;"e
s’en aller à ";, etj’ai pu pre
34;Besançon;LOC;"inaire.

-—— A ";? dit naïvement
35;Iiasses;LOC;l a dévoré les ;". les
dossiers;"
36;hôtel de Run!;LOC;"araissait
?! l'"; pour la premiè
37;Paris;LOC;"llé chercher à
";. Ce jeune homm
38;l’;LOC;es hâtimens de ;ancien couvent 
39;cathédrale de Besançon;LOC;"chapitre de la
";. Monsieur Sava
40;Paris;LOC;on confrère de ; à dîner au sor
41;l’;LOC;"on—
neur! » et ";a félicité sans
42;Comté;LOC;’est pas de la ;, dit monsieur 
43;qu’;LOC; quelque part, ;on ne sait pas 
44;qu’;LOC;"ncourt.

—Mais ";est—il? demanda
45;Seules;LOC;de monsieur de ; pour se rendre
46;Besançon;LOC;nu s’établir à ;? C’est une idé
47;l’;LOC;t nécessaire à ;intelligence de
48;la France;LOC;De tout temps, ; et l’Angleterr
49;Angleterre;LOC;la France et l’;" ont, fait un
é"
50;Paris;LOC;"ons anglaise
à "; se nomme franç
51;Londres;LOC;me française à ;, et réciproque
52;Angleterro;LOC; national de l’;, est une. mtis
53;Anglaise;LOC;portés par une ; à Paris furent
54;Paris;LOC;une Anglaise à ; furent inventé
55;Londres;LOC;"ent inventés à
";, on sait pourq
56;Française;LOC;rquoi, par une ;", la fameuse
du"
57;Tuileries;LOC; qui parut aux ;"
faillit être é"
58;Europe;LOC;es femmes de l’;" pendant
un dem"
59;Paris;LOC;nglaises, tout ;" alla voir
Po h"
60;Brunet;LOC;"oir
Po hier et "; dans les Angla
61;Françaises;LOC; ceintures des ;, qui leur cou-
62;l’;LOC;nguistiques. A ;"incroya—

 

bl"
63;l’;LOC;merveilleux, à ;éldgmtt, ces tr
64;l’;LOC;s-maitres dont ;étymologie est 
65;Barcelone;LOC;—150us ou dans ;... C’estma maî
66;Paris;LOC;e bêtise amuse ;, qui dévore au
67;Paris;LOC;n promena dans ;" sa cri-
nière,"
68;gnon;LOC;"s et son lor—l
"; tenu sans le s
69;sous—pieds;LOC;gance de leurs ;, contre l’incu
70;l’;LOC;—pieds, contre ;"incume deleurs
"
71;Besançon;LOC;triotes. Donc, ; jouissait, en 
72;l’;LOC;az au temps de ;occupation espa
73;espa—;LOC;e l’occupation ;"
gnole. Amédée "
74;Besançon;LOC;"seul qui, dans
";, descende d’un
